57	293	13.8	5	0.1	219.1413528	0.381	6.8
56.7	295	13.4	41	0.1	198.7285436	0.373	6.5
56.2	3	13	36	0.1	187.84595	0.341	6.2
55.3	316	12.6	33	0.1	117.49698	0.34	5.9
54.8	321	12.2	24	0.1	114.56	0.338	5.5
73	17	48.9	97	0.1	2416.588235	0.681	10.9
72.8	18	47.9	97	0.1	189.681557	0.674	10.7
73.3	15	46.9	98	0.1	1453.642777	0.67	10.7
73.6	14	46	97	0.1	1326.97339	0.662	10.6
72.6	11	45	97	0.1	1175.788981	0.656	10.7
72.3	14	47.9	86	0.1	2598.9823	0.673	11.7
71.7	146	47	87	0.1	294.33556	0.663	11.5
71.6	145	46.1	86	0.1	1774.33673	0.653	11.1
71.4	145	45.3	89	0.1	1732.857979	0.644	10.9
71.3	145	44.4	86	0.1	1757.17797	0.636	10.7
47.1	386	17.2	4	2.5	141.86844	0.415	6.4
46.8	388	16.8	4	2.4	779.468356	0.406	5.9
46.5	391	16.3	41	2.3	711.181716	0.401	5.5
45.7	44	15.8	38	2.1	526.168743	0.391	5.1
45.3	48	15.4	28	2	555.2969419	0.382	4.6
74.4	149	4.8	97	0.1	1352.8374	0	0
74.2	151	4.1	99	0.1	9739.82556	0	0
74	153	39.5	98	0.1	9386.716452	0	0
73.8	154	38.9	97	0.1	9358.154162	0	0
73.6	156	38.2	95	0.1	9875.161736	0	0
74.7	13	56.3	98	0.1	4251.574348	0.775	16.3
74.1	137	55.7	96	0.1	333.4376	0.77	16.4
74.1	138	55.1	93	0.1	2579.193168	0.776	16.3
74	138	54.6	83	0.1	717.694674	0.771	15.6
74.1	137	54	83	0.1	7669.273916	0.764	15
73	132	48.4	91	0.1	1191.96192	0.668	10.9
72.7	134	48.1	94	0.1	93.1661567	0.657	10.8
72.6	134	47.8	94	0.1	783.261699	0.645	10.8
72.6	141	47.4	94	0.1	694.435119	0.644	11.1
72	142	47.1	93	0.1	622.7427477	0.639	11.2
86	69	6.9	92	0.1	3472.37977	0.908	20.7
83	71	6.3	93	0.1	23465.38559	0.905	20.6
79.9	73	59.6	92	0.1	281.81763	0.902	20.1
79.9	75	59	92	0.1	19517.84168	0.899	20.5
79.5	78	58.2	9	0.1	2169.921	0.897	20.4
79.3	86	52.2	83	0.1	36693.4262	0.841	14.7
78.8	88	51.7	84	0.1	3212.9355	0.837	14.7
78.7	9	51.2	83	0.1	26351.37568	0.847	16.1
78.6	92	5.6	84	0.1	24489.73553	0.837	15.5
78.1	96	5.1	81	0.1	24517.26745	0.833	15.4
68.4	154	44.2	77	0.1	145.2163	0.668	11
67.8	154	43.6	77	0.1	883.6439965	0.659	10.8
67.8	146	43.1	76	0.1	763.73858	0.651	10.6
67.5	151	42.6	77	0.1	73.6838434	0.642	10.4
66.6	16	42.1	76	0.1	655.974326	0.636	10.1
75.2	83	55.6	98	0.1	15846.47641	0.803	13.9
75	85	55.2	97	0.1	14221.99259	0.798	13.7
74.9	87	55	98	0.1	1312.33457	0.796	13.5
74.7	9	54.8	99	0.1	12868.211	0.794	13.3
74.5	92	54.5	97	0.1	13636.34668	0.786	13.2
67.3	158	12	99	0.1	46.7579167	0.491	8.1
66.8	161	11.6	87	0.1	432.7388972	0.484	7.9
66.3	164	11.2	83	0.1	4.6135745	0.476	7.7
65.8	168	1.8	85	0.1	42.5981152	0.468	7.5
65.3	173	1.4	82	0.1	45.63371	0.459	7.3
73.8	119	46.2	93	0.2	12868.8639	0.757	14.4
73.7	121	45.4	89	0.4	1228.5447	0.753	14.2
73.5	123	44.6	87	0.8	11675.39395	0.749	14
73.4	125	43.8	84	0.7	11513.87189	0.75	14
73.3	127	43	93	0.9	11568.1111	0.741	14
68.2	247	56.2	99	0.1	2378.33927	0.703	14.1
67.7	253	55.8	5	0.1	1819.525644	0.695	13.9
67.2	262	55.3	99	0.1	1479.383142	0.687	13.6
67.7	254	54.9	99	0.1	1244.373185	0.681	13.3
68	247	54.4	99	0.1	1276.28834	0.675	13.1
